"CountryCode","SeriesCode","DESCRIPTION",
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","MS.MIL.XPND.CD","1997-2014 SIPRI estimates.",
"ARE","MS.MIL.XPND.CN","1997-2014 SIPRI estimates.",
"ARE","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ARE","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates.",
"ARE","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ARE","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ARE","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARE","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARE","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2016 are based on reports provided by the country. Short-term debt data for 2016 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.",
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones.",
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones.",
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones.",
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","PA.NUS.PPP","Estimates are based on regression.",
"ARG","PA.NUS.PPPC.RF","Estimates are based on regression.",
"ARG","PA.NUS.PRVT.PP","Estimates are based on regression.",
"ARG","SG.NOD.CONS","There is no nondiscrimination provision.",
"ARG","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ARG","SM.POP.REFG","The decrease in the refugee population in 1998 is mainly due to a verification of records.",
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ARG","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ARG","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ARG","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ARG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2017 are based on reports provided by the country. Long-term private nonguaranteed debt data from 2011 are World Bank staff estimates. Short-term debt data for 2017 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ARM","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ARM","SP.DYN.CBRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.CDRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ARM","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ARM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ASM","SP.DYN.CBRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ASM","SP.DYN.CDRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ASM","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ASM","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ATG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.MLT.MAIN","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.BBND","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.BBND.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SM.POP.NETM","Data sources : United Nations World Population Prospects",
"ATG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ATG","SP.DYN.AMRT.FE","Data source : United Nations World Population Prospects",
"ATG","SP.DYN.AMRT.MA","Data source : United Nations World Population Prospects",
"ATG","SP.DYN.CBRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.CDRT.IN","Data sources : United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ATG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AUS","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"AUS","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUS","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AUS","IT.CEL.SETS","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.CEL.SETS.P2","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
